Student,Points
b08901136,85
r10943170,0
b08901105,85
b06507027,80
b06901079,85
b07505026,85
b07901012,85
b07901020,80
b07901047,85
b07901048,69
b07901054,0
b07901056,85
b07901063,85
b07901067,85
b07901075,80
b07901078,80
b07901103,80
b07901135,85
b07901174,0
b06705059,85
r10921096,85
r10921104,80
d10943013,85
r09943182,85
r09943186,80
r10943089,85
r10943090,85
r10943092,85
r10943093,85
r10943095,85
r10943096,85
r10943098,85
r10943099,85
r10943100,85
r10943101,85
r10943102,85
r10943107,80
r10943109,85
r10943144,5
r10943146,85
r10943147,57
r10943153,80
r10943160,85
r10943171,5
r08943149,13
r08943064,8
r05943167,0
